[2026-04-19 06:45:16,634][root][INFO] - 
------Config------
 {'dataset': 'FB15k_237', 'epoch': 600, 'batch_size': 1024, 'learning_rate': 0.000175, 'h_dim': 480, 'pred_rel_w': False, 'label_smooth': 0.1, 'n_heads': 8, 'topk': 15, 'kg_layer': 1, 'rm_rate': 0.5, 'ent_drop': 0.3, 'rel_drop': 0.2, 'comp_op': 'mul', 'bn': False, 'k_h': 16, 'k_w': 30, 'conv_drop': 0.3, 'ent_drop_pred': 0.3, 'fc_drop': 0.5, 'ker_sz': 8, 'out_channel': 200, 'device': 0, 'max_no_improve': 35, 'cpu_worker_num': 10, 'warmup_epoch': 5}
[2026-04-19 06:45:16,634][root][INFO] - Code dir path: /home/wangwei/DSGNet-main/DSGNet/code_new
[2026-04-19 06:45:16,634][root][INFO] - Config dir path: /home/wangwei/DSGNet-main/DSGNet/config
[2026-04-19 06:45:16,634][root][INFO] - Model save path: /home/wangwei/DSGNet-main/DSGNet/data/output/FB15k_237/2026-04-19/06-45-16
[2026-04-19 06:45:20,824][root][INFO] - kg # node: 14541
[2026-04-19 06:45:20,824][root][INFO] - kg # edge: 544230
[2026-04-19 06:45:20,824][root][INFO] - kg # zero deg node: 36
[2026-04-19 06:45:20,824][root][INFO] - ---Load Train Data---
[2026-04-19 06:45:23,219][root][INFO] - -----Model Parameter Configuration-----
[2026-04-19 06:45:23,219][root][INFO] - Parameter ent_emb: torch.Size([14541, 480]), require_grad = True
[2026-04-19 06:45:23,219][root][INFO] - Parameter pred_rel_emb: torch.Size([474, 480]), require_grad = True
[2026-04-19 06:45:23,219][root][INFO] - Parameter W_fuse: torch.Size([480, 480]), require_grad = True
[2026-04-19 06:45:23,219][root][INFO] - Parameter a_fuse: torch.Size([960, 1]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter rel_embs.0: torch.Size([474, 480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn0.weight: torch.Size([1]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn0.bias: torch.Size([1]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn1.weight: torch.Size([200]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn1.bias: torch.Size([200]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn2.weight: torch.Size([480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.bn2.bias: torch.Size([480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.conv.weight: torch.Size([200, 1, 8, 8]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter predictor.fc.weight: torch.Size([480, 115000]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter L.weight: torch.Size([480, 480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter L.bias: torch.Size([480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter S.weight: torch.Size([480, 480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter S.bias: torch.Size([480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.neigh_w: torch.Size([480, 480]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.0: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.1: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.2: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.3: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.4: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.5: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.6: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W.7: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,220][root][INFO] - Parameter comp_layers.0.W_r.0: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.1: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.2: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.3: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.4: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.5: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.6: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.W_r.7: torch.Size([480, 60]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.0: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.1: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.2: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.3: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.4: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.5: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.6: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:23,221][root][INFO] - Parameter comp_layers.0.a.7: torch.Size([180, 1]), require_grad = True
[2026-04-19 06:45:24,116][root][INFO] - Training... total epoch: 600, step: 88200
[2026-04-19 06:49:38,317][root][INFO] - Epoch:   0 | Loss: 0.5904 | Val - MRR: 0.0119, MR: 6149.45, H@1: 0.004, H@3: 0.010, H@10: 0.031 | Test - MRR: 0.0114 | *
[2026-04-19 06:53:58,059][root][INFO] - Epoch:   1 | Loss: 0.0373 | Val - MRR: 0.0024, MR: 6090.92, H@1: 0.000, H@3: 0.000, H@10: 0.002 | 
[2026-04-19 06:58:38,389][root][INFO] - Epoch:   2 | Loss: 0.0043 | Val - MRR: 0.0153, MR: 5015.71, H@1: 0.010, H@3: 0.012, H@10: 0.017 | Test - MRR: 0.0151 | *
[2026-04-19 07:03:18,678][root][INFO] - Epoch:   3 | Loss: 0.0036 | Val - MRR: 0.0612, MR: 3923.99, H@1: 0.047, H@3: 0.064, H@10: 0.076 | Test - MRR: 0.0611 | *
[2026-04-19 07:07:56,833][root][INFO] - Epoch:   4 | Loss: 0.0027 | Val - MRR: 0.0956, MR: 2967.31, H@1: 0.079, H@3: 0.096, H@10: 0.124 | Test - MRR: 0.0930 | *
[2026-04-19 07:12:12,543][root][INFO] - Epoch:   5 | Loss: 0.0025 | Val - MRR: 0.1196, MR: 2207.81, H@1: 0.092, H@3: 0.126, H@10: 0.164 | Test - MRR: 0.1187 | *
[2026-04-19 07:16:46,421][root][INFO] - Epoch:   6 | Loss: 0.0024 | Val - MRR: 0.1368, MR: 1828.88, H@1: 0.107, H@3: 0.142, H@10: 0.189 | Test - MRR: 0.1344 | *
[2026-04-19 07:21:22,440][root][INFO] - Epoch:   7 | Loss: 0.0024 | Val - MRR: 0.1503, MR: 1566.54, H@1: 0.114, H@3: 0.158, H@10: 0.216 | Test - MRR: 0.1474 | *
[2026-04-19 07:25:48,943][root][INFO] - Epoch:   8 | Loss: 0.0023 | Val - MRR: 0.1608, MR: 1353.05, H@1: 0.122, H@3: 0.170, H@10: 0.232 | Test - MRR: 0.1581 | *
[2026-04-19 07:30:24,257][root][INFO] - Epoch:   9 | Loss: 0.0023 | Val - MRR: 0.1723, MR: 1224.31, H@1: 0.130, H@3: 0.184, H@10: 0.251 | Test - MRR: 0.1691 | *
[2026-04-19 07:34:46,062][root][INFO] - Epoch:  10 | Loss: 0.0022 | Val - MRR: 0.1808, MR: 1068.94, H@1: 0.134, H@3: 0.195, H@10: 0.268 | Test - MRR: 0.1785 | *
[2026-04-19 07:39:18,566][root][INFO] - Epoch:  11 | Loss: 0.0022 | Val - MRR: 0.1842, MR:  957.68, H@1: 0.136, H@3: 0.198, H@10: 0.278 | Test - MRR: 0.1822 | *
[2026-04-19 07:43:50,079][root][INFO] - Epoch:  12 | Loss: 0.0022 | Val - MRR: 0.1905, MR:  852.17, H@1: 0.139, H@3: 0.207, H@10: 0.288 | Test - MRR: 0.1887 | *
[2026-04-19 07:48:24,234][root][INFO] - Epoch:  13 | Loss: 0.0021 | Val - MRR: 0.1963, MR:  788.34, H@1: 0.144, H@3: 0.212, H@10: 0.297 | Test - MRR: 0.1951 | *
[2026-04-19 07:52:57,471][root][INFO] - Epoch:  14 | Loss: 0.0021 | Val - MRR: 0.2002, MR:  704.82, H@1: 0.146, H@3: 0.216, H@10: 0.305 | Test - MRR: 0.1991 | *
[2026-04-19 07:57:30,768][root][INFO] - Epoch:  15 | Loss: 0.0021 | Val - MRR: 0.2042, MR:  659.31, H@1: 0.149, H@3: 0.221, H@10: 0.310 | Test - MRR: 0.2027 | *
[2026-04-19 08:01:44,019][root][INFO] - Epoch:  16 | Loss: 0.0021 | Val - MRR: 0.2067, MR:  644.34, H@1: 0.150, H@3: 0.225, H@10: 0.315 | Test - MRR: 0.2056 | *
[2026-04-19 08:06:17,577][root][INFO] - Epoch:  17 | Loss: 0.0021 | Val - MRR: 0.2089, MR:  604.51, H@1: 0.151, H@3: 0.226, H@10: 0.318 | Test - MRR: 0.2075 | *
[2026-04-19 08:10:51,004][root][INFO] - Epoch:  18 | Loss: 0.0020 | Val - MRR: 0.2106, MR:  569.87, H@1: 0.152, H@3: 0.228, H@10: 0.322 | Test - MRR: 0.2098 | *
[2026-04-19 08:15:23,778][root][INFO] - Epoch:  19 | Loss: 0.0020 | Val - MRR: 0.2129, MR:  552.51, H@1: 0.154, H@3: 0.231, H@10: 0.326 | Test - MRR: 0.2122 | *
[2026-04-19 08:19:56,280][root][INFO] - Epoch:  20 | Loss: 0.0020 | Val - MRR: 0.2149, MR:  538.77, H@1: 0.157, H@3: 0.231, H@10: 0.328 | Test - MRR: 0.2139 | *
[2026-04-19 08:23:45,271][root][INFO] - Epoch:  21 | Loss: 0.0020 | Val - MRR: 0.2178, MR:  522.42, H@1: 0.159, H@3: 0.236, H@10: 0.332 | Test - MRR: 0.2163 | *
[2026-04-19 08:28:16,620][root][INFO] - Epoch:  22 | Loss: 0.0020 | Val - MRR: 0.2181, MR:  511.68, H@1: 0.158, H@3: 0.237, H@10: 0.334 | Test - MRR: 0.2173 | *
[2026-04-19 08:32:52,979][root][INFO] - Epoch:  23 | Loss: 0.0020 | Val - MRR: 0.2213, MR:  502.64, H@1: 0.161, H@3: 0.240, H@10: 0.339 | Test - MRR: 0.2205 | *
[2026-04-19 08:37:29,184][root][INFO] - Epoch:  24 | Loss: 0.0020 | Val - MRR: 0.2227, MR:  484.48, H@1: 0.161, H@3: 0.241, H@10: 0.341 | Test - MRR: 0.2224 | *
[2026-04-19 08:42:06,372][root][INFO] - Epoch:  25 | Loss: 0.0020 | Val - MRR: 0.2238, MR:  470.22, H@1: 0.162, H@3: 0.243, H@10: 0.343 | Test - MRR: 0.2240 | *
[2026-04-19 08:46:35,948][root][INFO] - Epoch:  26 | Loss: 0.0019 | Val - MRR: 0.2255, MR:  462.68, H@1: 0.163, H@3: 0.247, H@10: 0.347 | Test - MRR: 0.2248 | *
[2026-04-19 08:50:47,232][root][INFO] - Epoch:  27 | Loss: 0.0019 | Val - MRR: 0.2269, MR:  448.24, H@1: 0.164, H@3: 0.246, H@10: 0.349 | Test - MRR: 0.2262 | *
[2026-04-19 08:55:18,590][root][INFO] - Epoch:  28 | Loss: 0.0019 | Val - MRR: 0.2277, MR:  439.77, H@1: 0.165, H@3: 0.247, H@10: 0.350 | Test - MRR: 0.2273 | *
[2026-04-19 08:59:50,924][root][INFO] - Epoch:  29 | Loss: 0.0019 | Val - MRR: 0.2304, MR:  433.12, H@1: 0.168, H@3: 0.249, H@10: 0.354 | Test - MRR: 0.2297 | *
