[2026-03-26 01:44:54,184][root][INFO] - 
------Config------
 {'dataset': 'WN18RR', 'epoch': 800, 'batch_size': 256, 'learning_rate': 0.0015, 'h_dim': 200, 'pred_rel_w': True, 'label_smooth': 0.1, 'n_heads': 4, 'topk': 5, 'kg_layer': 1, 'rm_rate': 0.4, 'ent_drop': 0.2, 'rel_drop': 0, 'comp_op': 'mul', 'bn': True, 'k_h': 10, 'k_w': 20, 'ent_drop_pred': 0.3, 'conv_drop': 0.1, 'fc_drop': 0.4, 'ker_sz': 7, 'out_channel': 250, 'device': 0, 'max_no_improve': 45, 'cpu_worker_num': 10, 'warmup_epoch': 5}
[2026-03-26 01:44:54,184][root][INFO] - Code dir path: /home/wangwei/DSGNet-main/DSGNet/code_new
[2026-03-26 01:44:54,184][root][INFO] - Config dir path: /home/wangwei/DSGNet-main/DSGNet/config
[2026-03-26 01:44:54,184][root][INFO] - Model save path: /home/wangwei/DSGNet-main/DSGNet/data/output/WN18RR/2026-03-26/01-44-54
[2026-03-26 01:44:56,737][root][INFO] - kg # node: 40943
[2026-03-26 01:44:56,738][root][INFO] - kg # edge: 173670
[2026-03-26 01:44:56,738][root][INFO] - kg # zero deg node: 384
[2026-03-26 01:44:56,738][root][INFO] - ---Load Train Data---
[2026-03-26 01:44:57,764][root][INFO] - -----Model Parameter Configuration-----
[2026-03-26 01:44:57,764][root][INFO] - Parameter ent_emb: torch.Size([40943, 200]), require_grad = True
[2026-03-26 01:44:57,764][root][INFO] - Parameter rel_w: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,764][root][INFO] - Parameter W_fuse: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,764][root][INFO] - Parameter a_fuse: torch.Size([400, 1]), require_grad = True
[2026-03-26 01:44:57,764][root][INFO] - Parameter rel_embs.0: torch.Size([22, 200]), require_grad = True
[2026-03-26 01:44:57,764][root][INFO] - Parameter predictor.bn0.weight: torch.Size([1]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.bn0.bias: torch.Size([1]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.bn1.weight: torch.Size([250]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.bn1.bias: torch.Size([250]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.bn2.weight: torch.Size([200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.bn2.bias: torch.Size([200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.conv.weight: torch.Size([250, 1, 7, 7]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter predictor.fc.weight: torch.Size([200, 49000]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter L.weight: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter L.bias: torch.Size([200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter S.weight: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter S.bias: torch.Size([200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.W: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.W_r: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.a: torch.Size([600, 1]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.neigh_w: torch.Size([200, 200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.bn.weight: torch.Size([200]), require_grad = True
[2026-03-26 01:44:57,765][root][INFO] - Parameter comp_layers.0.bn.bias: torch.Size([200]), require_grad = True
[2026-03-26 01:44:58,664][root][INFO] - Training... total epoch: 800, step: 324000
[2026-03-26 01:46:15,607][root][INFO] - Epoch:   0 | Loss: 0.2392 | Val - MRR: 0.0002, MR: 23808.62, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0003 | *
[2026-03-26 01:47:31,531][root][INFO] - Epoch:   1 | Loss: 0.0030 | Val - MRR: 0.0003, MR: 20584.09, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0003 | *
[2026-03-26 01:48:47,830][root][INFO] - Epoch:   2 | Loss: 0.0014 | Val - MRR: 0.0036, MR: 18748.96, H@1: 0.000, H@3: 0.004, H@10: 0.012 | Test - MRR: 0.0042 | *
[2026-03-26 01:50:03,452][root][INFO] - Epoch:   3 | Loss: 0.0011 | Val - MRR: 0.0102, MR: 16742.08, H@1: 0.004, H@3: 0.012, H@10: 0.022 | Test - MRR: 0.0113 | *
[2026-03-26 01:51:17,783][root][INFO] - Epoch:   4 | Loss: 0.0009 | Val - MRR: 0.0129, MR: 15440.79, H@1: 0.005, H@3: 0.015, H@10: 0.026 | Test - MRR: 0.0144 | *
[2026-03-26 01:52:32,748][root][INFO] - Epoch:   5 | Loss: 0.0009 | Val - MRR: 0.0141, MR: 12959.38, H@1: 0.005, H@3: 0.017, H@10: 0.031 | Test - MRR: 0.0139 | *
