[2026-04-04 23:15:03,865][root][INFO] - 
------Config------
 {'dataset': 'WN18RR', 'epoch': 800, 'batch_size': 256, 'learning_rate': 0.0015, 'h_dim': 200, 'pred_rel_w': True, 'label_smooth': 0.1, 'n_heads': 1, 'topk': 5, 'kg_layer': 1, 'rm_rate': 0.4, 'ent_drop': 0.2, 'rel_drop': 0, 'comp_op': 'mul', 'bn': True, 'k_h': 10, 'k_w': 20, 'ent_drop_pred': 0.3, 'conv_drop': 0.1, 'fc_drop': 0.4, 'ker_sz': 7, 'out_channel': 250, 'device': 0, 'max_no_improve': 45, 'cpu_worker_num': 10, 'warmup_epoch': 5}
[2026-04-04 23:15:03,865][root][INFO] - Code dir path: /home/wangwei/DSGNet-main/DSGNet/code_new
[2026-04-04 23:15:03,865][root][INFO] - Config dir path: /home/wangwei/DSGNet-main/DSGNet/config
[2026-04-04 23:15:03,865][root][INFO] - Model save path: /home/wangwei/DSGNet-main/DSGNet/data/output/WN18RR/2026-04-04/23-15-03
[2026-04-04 23:15:06,919][root][INFO] - kg # node: 40943
[2026-04-04 23:15:06,919][root][INFO] - kg # edge: 173670
[2026-04-04 23:15:06,919][root][INFO] - kg # zero deg node: 384
[2026-04-04 23:15:06,919][root][INFO] - ---Load Train Data---
[2026-04-04 23:15:07,984][root][INFO] - -----Model Parameter Configuration-----
[2026-04-04 23:15:07,984][root][INFO] - Parameter ent_emb: torch.Size([40943, 200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter rel_w: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter W_fuse: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter a_fuse: torch.Size([400, 1]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter rel_embs.0: torch.Size([22, 200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn0.weight: torch.Size([1]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn0.bias: torch.Size([1]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn1.weight: torch.Size([250]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn1.bias: torch.Size([250]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn2.weight: torch.Size([200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.bn2.bias: torch.Size([200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.conv.weight: torch.Size([250, 1, 7, 7]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter predictor.fc.weight: torch.Size([200, 49000]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter L.weight: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,984][root][INFO] - Parameter L.bias: torch.Size([200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter S.weight: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter S.bias: torch.Size([200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.neigh_w: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.W.0: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.W_r.0: torch.Size([200, 200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.a.0: torch.Size([600, 1]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.bn.weight: torch.Size([200]), require_grad = True
[2026-04-04 23:15:07,985][root][INFO] - Parameter comp_layers.0.bn.bias: torch.Size([200]), require_grad = True
[2026-04-04 23:15:08,929][root][INFO] - Training... total epoch: 800, step: 324000
[2026-04-04 23:16:29,041][root][INFO] - Epoch:   0 | Loss: 2.5599 | Val - MRR: 0.0003, MR: 21727.66, H@1: 0.000, H@3: 0.000, H@10: 0.000 | Test - MRR: 0.0003 | *
[2026-04-04 23:17:47,948][root][INFO] - Epoch:   1 | Loss: 0.0035 | Val - MRR: 0.0007, MR: 20285.06, H@1: 0.000, H@3: 0.000, H@10: 0.002 | Test - MRR: 0.0007 | *
[2026-04-04 23:18:59,094][root][INFO] - Epoch:   2 | Loss: 0.0019 | Val - MRR: 0.0006, MR: 19421.30, H@1: 0.000, H@3: 0.000, H@10: 0.001 | 
[2026-04-04 23:20:17,622][root][INFO] - Epoch:   3 | Loss: 0.0016 | Val - MRR: 0.0026, MR: 18066.56, H@1: 0.002, H@3: 0.002, H@10: 0.003 | Test - MRR: 0.0045 | *
[2026-04-04 23:21:35,916][root][INFO] - Epoch:   4 | Loss: 0.0014 | Val - MRR: 0.0028, MR: 16554.45, H@1: 0.002, H@3: 0.002, H@10: 0.003 | Test - MRR: 0.0048 | *
[2026-04-04 23:22:53,877][root][INFO] - Epoch:   5 | Loss: 0.0013 | Val - MRR: 0.0052, MR: 16491.57, H@1: 0.004, H@3: 0.004, H@10: 0.008 | Test - MRR: 0.0070 | *
